t,served,expired,avg_wait
1,0,0,0.0
2,0,0,0.0
3,0,0,0.0
4,0,0,0.0
5,0,0,0.0
6,0,0,0.0
7,0,0,0.0
8,0,0,0.0
9,0,0,0.0
10,0,0,0.0
11,0,2,0.0
12,0,2,0.0
13,0,2,0.0
14,0,2,0.0
15,0,2,0.0
16,0,2,0.0
17,0,2,0.0
18,0,2,0.0
19,0,2,0.0
20,0,2,0.0
21,0,2,0.0
22,0,2,0.0
23,0,2,0.0
24,0,2,0.0
25,0,2,0.0
26,0,2,0.0
27,0,2,0.0
28,0,2,0.0
29,0,2,0.0
30,0,2,0.0
31,0,2,0.0
32,0,2,0.0
33,0,2,0.0
34,0,2,0.0
1,0,0,0.0
2,0,0,0.0
3,0,0,0.0
4,0,0,0.0
5,0,0,0.0
6,1,0,6.0
7,1,0,6.0
8,1,0,6.0
9,1,0,6.0
10,1,0,6.0
11,1,0,6.0
12,1,0,6.0
13,2,0,9.5
14,2,0,9.5
15,3,0,11.333333333333334
16,3,0,11.333333333333334
17,3,0,11.333333333333334
18,4,0,13.0
19,4,0,13.0
20,5,0,14.4
21,6,0,15.5
22,7,0,16.428571428571427
23,7,0,16.428571428571427
24,7,0,16.428571428571427
25,8,0,17.5
26,8,0,17.5
27,9,0,18.555555555555557
28,9,0,18.555555555555557
29,9,0,18.555555555555557
30,9,0,18.555555555555557
31,9,0,18.555555555555557
32,9,0,18.555555555555557
33,10,0,20.0
34,10,0,20.0
35,10,0,20.0
1,0,0,0.0
2,0,0,0.0
3,0,0,0.0
4,0,0,0.0
5,0,0,0.0
6,0,0,0.0
7,0,0,0.0
8,0,0,0.0
9,0,0,0.0
10,0,0,0.0
11,0,0,0.0
12,0,0,0.0
13,0,0,0.0
14,0,0,0.0
15,0,0,0.0
16,1,0,11.0
17,1,0,11.0
18,1,0,11.0
19,1,0,11.0
20,1,0,11.0
21,2,0,15.0
22,3,0,17.333333333333332
23,5,0,11.6
24,5,0,11.6
25,5,0,11.6
26,5,0,11.6
27,5,0,11.6
28,5,0,11.6
29,6,0,4.5
30,6,0,4.5
31,7,0,8.142857142857142
32,7,0,8.142857142857142
33,7,0,8.142857142857142
34,7,0,8.142857142857142
35,7,0,8.142857142857142
36,7,0,8.142857142857142
37,7,0,8.142857142857142
38,7,0,8.142857142857142
39,8,0,0.75
40,8,0,0.75
41,9,0,-7.0
42,9,0,-7.0
43,9,0,-7.0
44,9,0,-7.0
45,9,0,-7.0
46,9,0,-7.0
47,9,0,-7.0
48,9,0,-7.0
49,9,0,-7.0
50,9,0,-7.0
51,9,0,-7.0
52,9,0,-7.0
53,9,0,-7.0
54,9,0,-7.0
55,10,0,-5.3
56,10,0,-5.3
57,10,0,-5.3
58,10,0,-5.3
59,10,0,-5.3
60,10,0,-5.3
61,10,0,-5.3
62,10,1,-5.3
63,10,1,-5.3
64,10,1,-5.3
65,10,1,-5.3
66,10,1,-5.3
67,10,1,-5.3
68,10,1,-5.3
69,10,1,-5.3
70,10,1,-5.3
71,10,1,-5.3
72,10,1,-5.3
73,10,1,-5.3
74,10,1,-5.3
75,10,1,-5.3
76,10,1,-5.3
77,10,1,-5.3
78,10,1,-5.3
79,10,1,-5.3
80,10,1,-5.3
81,10,1,-5.3
82,10,1,-5.3
83,10,1,-5.3
84,10,1,-5.3
85,10,1,-5.3
86,10,1,-5.3
87,10,1,-5.3
88,10,1,-5.3
89,10,1,-5.3
90,10,1,-5.3
91,10,1,-5.3
92,10,1,-5.3
93,10,1,-5.3
94,10,1,-5.3
95,10,1,-5.3
96,10,1,-5.3
97,10,1,-5.3
98,10,1,-5.3
99,10,1,-5.3
100,10,1,-5.3
101,10,1,-5.3
102,10,1,-5.3
103,10,1,-5.3
104,10,1,-5.3
105,10,1,-5.3
